Column number,Variable name,Type,Observation,Function,Component,Description,Measurement type,Domain
1,Subject,Integer,Subject,NA,NA,"ID of subject who performed the activity, range [1:30]",NA,NA
2,Activity,Character (factor),Activity,NA,NA,"Name of activity, range {""Walking"", ""Walking Upstairs"", ""Walking Downstairs"", ""Sitting"", ""Standing"", ""Laying""}",NA,NA
3,Avg-of-tBodyAcc-mean()-X,Numeric,tBodyAcc,mean,X,Body linear acceleration,Average of mean value,Time domain signal
4,Avg-of-tBodyAcc-mean()-Y,Numeric,tBodyAcc,mean,Y,Body linear acceleration,Average of mean value,Time domain signal
5,Avg-of-tBodyAcc-mean()-Z,Numeric,tBodyAcc,mean,Z,Body linear acceleration,Average of mean value,Time domain signal
6,Avg-of-tBodyAcc-std()-X,Numeric,tBodyAcc,std,X,Body linear acceleration,Average of standard deviation,Time domain signal
7,Avg-of-tBodyAcc-std()-Y,Numeric,tBodyAcc,std,Y,Body linear acceleration,Average of standard deviation,Time domain signal
8,Avg-of-tBodyAcc-std()-Z,Numeric,tBodyAcc,std,Z,Body linear acceleration,Average of standard deviation,Time domain signal
9,Avg-of-tGravityAcc-mean()-X,Numeric,tGravityAcc,mean,X,Gravity linear acceleration,Average of mean value,Time domain signal
10,Avg-of-tGravityAcc-mean()-Y,Numeric,tGravityAcc,mean,Y,Gravity linear acceleration,Average of mean value,Time domain signal
11,Avg-of-tGravityAcc-mean()-Z,Numeric,tGravityAcc,mean,Z,Gravity linear acceleration,Average of mean value,Time domain signal
12,Avg-of-tGravityAcc-std()-X,Numeric,tGravityAcc,std,X,Gravity linear acceleration,Average of standard deviation,Time domain signal
13,Avg-of-tGravityAcc-std()-Y,Numeric,tGravityAcc,std,Y,Gravity linear acceleration,Average of standard deviation,Time domain signal
14,Avg-of-tGravityAcc-std()-Z,Numeric,tGravityAcc,std,Z,Gravity linear acceleration,Average of standard deviation,Time domain signal
15,Avg-of-tBodyAccJerk-mean()-X,Numeric,tBodyAccJerk,mean,X,Jerk of body linear acceleration,Average of mean value,Time domain signal
16,Avg-of-tBodyAccJerk-mean()-Y,Numeric,tBodyAccJerk,mean,Y,Jerk of body linear acceleration,Average of mean value,Time domain signal
17,Avg-of-tBodyAccJerk-mean()-Z,Numeric,tBodyAccJerk,mean,Z,Jerk of body linear acceleration,Average of mean value,Time domain signal
18,Avg-of-tBodyAccJerk-std()-X,Numeric,tBodyAccJerk,std,X,Jerk of body linear acceleration,Average of standard deviation,Time domain signal
19,Avg-of-tBodyAccJerk-std()-Y,Numeric,tBodyAccJerk,std,Y,Jerk of body linear acceleration,Average of standard deviation,Time domain signal
20,Avg-of-tBodyAccJerk-std()-Z,Numeric,tBodyAccJerk,std,Z,Jerk of body linear acceleration,Average of standard deviation,Time domain signal
21,Avg-of-tBodyGyro-mean()-X,Numeric,tBodyGyro,mean,X,Body angular velocity,Average of mean value,Time domain signal
